X-axis,Y-axis
670617.21009968,5815053.160100446
670614.2511999109,5815046.119700396
670611.9711002557,5815043.897199605
670609.1060000786,5815041.104300117
670605.9501000675,5815037.94959974
670603.0687000706,5815035.154099885
670592.4917998676,5815024.641600498
670591.6823001738,5815023.6581002455
670591.4616997167,5815022.786099968
670591.1503001597,5815021.251299654
670591.1678000453,5815020.091899789
670591.1734000172,5815019.273199593
670591.1962997683,5815018.614399632
670591.0166000568,5815017.880300297
670590.6539998525,5815017.162600228
670589.8530997137,5815015.92919944
670588.5293000415,5815014.654900296
670586.8722998305,5815013.778400393
670585.7123999407,5815013.692599993
670584.3552002783,5815014.032100492
670583.4268002018,5815014.500200042
670582.6068002431,5815015.131300544
670581.8739003283,5815015.879199639
670581.1558996812,5815016.855100369
670580.7834000371,5815017.7291999785
670580.4800998678,5815018.58300027
670580.5483000919,5815019.409899988
670580.7132000995,5815020.405099765
670581.0481999406,5815021.263999788
670582.0689000135,5815022.732500181
670587.5197999701,5815028.124199861
670604.9039001532,5815045.298500029
670607.7286002189,5815048.113500252
670609.3821000959,5815049.748900264
670614.6090996857,5815054.843800417
670614.9851997291,5815055.175299939
670615.8914001224,5815056.002899853
670616.5360000761,5815056.480300185
670617.2953996442,5815056.938800543
670618.1003002534,5815057.399000276
670618.7700997271,5815057.8089999985
670619.5019998732,5815058.073200503
670620.2012997832,5815058.29090027
670620.8550997789,5815058.506999994
670621.5335998695,5815058.667000206
670622.2124997119,5815058.81570019
670622.9040000968,5815058.930800049
670623.6304002298,5815059.024300447
670624.2908998872,5815059.047299756
670624.9628000644,5815059.070599882
670625.8902996988,5815058.954999517
670626.4953997243,5815058.930599548
670627.328299751,5815058.914099793
670627.8398997575,5815058.954599716
670628.270299733,5815059.037799828
670628.7657997054,5815059.2143000355
670629.3735996701,5815059.440099759
670629.9244998554,5815059.663999725
670631.394099861,5815060.681799911
670735.6208002744,5815163.330100539
670735.6208002744,5815163.330100539
670737.676199731,5815161.371800127
670737.676199731,5815161.371800127
670633.5212002777,5815058.526699515
670632.943300003,5815058.097199733
670631.965700301,5815057.358000114
670630.9165999487,5815056.70740011
670630.0873998608,5815056.291899512
670628.802600094,5815055.860499548
670627.5123002833,5815055.588199653
670626.1938003238,5815055.474100143
670625.003899952,5815055.592000423
670623.7700998405,5815055.662800058
670622.5866002773,5815055.59890053
670621.4313999827,5815055.37670002
670620.4120002105,5815055.182100301
670619.4421999049,5815054.8753998
670618.5697997565,5815054.390100459
670617.7248002202,5815053.769400036
670617.3926998068,5815053.4024003325
670617.21009968,5815053.160100446
670617.21009968,5815053.160100446
670614.1720002443,5815050.199800514
670613.5044002755,5815049.5625001425
670612.8601998489,5815048.9088997375
670612.2976000787,5815048.366200051
670611.6411999315,5815047.734899784
670611.0039999728,5815047.041699471
670605.9638002549,5815042.146700187
670605.2480999138,5815041.4167002775
670604.6732997592,5815040.896300404
670604.1016997998,5815040.285000415
670603.4390003001,5815039.670599508
670602.8006001337,5815039.011499509
670602.1615001519,5815038.375199673
670601.5670998866,5815037.763100507
670600.9059002385,5815037.103200194
670600.2481002826,5815036.511699903
670599.5990000528,5815035.835200189
670598.9529001027,5815035.232700286
670598.3525000507,5815034.631799567
670597.7140998835,5815033.972700307
670597.0222998369,5815033.374299908
670596.496200102,5815032.764699926
670595.789600352,5815032.103199492
670595.1495997466,5815031.489600236
670594.5301001938,5815030.944899858
670593.871099721,5815030.222500361
670593.2779000847,5815029.57640008
670592.5703999749,5815028.937599732
670592.03710025,5815028.373200558
670591.358700086,5815027.718399694
670590.7186998208,5815027.104699772
670590.0567997319,5815026.467600024
670589.5510996971,5815025.926899462
670589.5510996971,5815025.926899462
670587.5311998138,5815023.919900005
670583.7983001247,5815020.211000175
670583.6193997874,5815019.783900402
670583.5382000703,5815019.331899745
670583.6150999151,5815018.760200271
670583.848800247,5815018.267900237
670584.1403997916,5815017.914099847
670584.9446001993,5815017.083400376
670585.3708998535,5815016.95609982
670585.8194000223,5815016.846600418
670586.3075998614,5815016.903400453
670586.8340000982,5815017.177600075
670587.3028997785,5815017.626000401
670587.6566003324,5815018.110300211
670587.8400998132,5815018.571599585
670587.9231002335,5815019.137499907
670587.9418002841,5815019.911499725
670587.9016002391,5815020.5753998
670587.9168000091,5815021.12179994
670587.9746001704,5815021.7549999915
670588.093399756,5815022.76569993
670588.3585999826,5815023.991799739
670588.6568000354,5815024.75849959
670589.5510996971,5815025.926899462
670589.5510996971,5815025.926899462
670590.0567997319,5815026.467600024
670590.7186998208,5815027.104699772
670591.358700086,5815027.718399694
670592.03710025,5815028.373200558
670592.5703999749,5815028.937599732
670593.2779000847,5815029.57640008
670593.871099721,5815030.222500361
670594.5301001938,5815030.944899858
670595.1495997466,5815031.489600236
670595.789600352,5815032.103199492
670596.496200102,5815032.764699926
670597.0222998369,5815033.374299908
670597.7140998835,5815033.972700307
670598.3525000507,5815034.631799567
670598.9529001027,5815035.232700286
670599.5990000528,5815035.835200189
670600.2481002826,5815036.511699903
670600.9059002385,5815037.103200194
670601.5670998866,5815037.763100507
670602.1615001519,5815038.375199673
670602.8006001337,5815039.011499509
670603.4390003001,5815039.670599508
670604.1016997998,5815040.285000415
670604.6732997592,5815040.896300404
670605.2480999138,5815041.4167002775
670605.9638002549,5815042.146700187
670611.0039999728,5815047.041699471
670611.6411999315,5815047.734899784
670612.2976000787,5815048.366200051
670612.8601998489,5815048.9088997375
670613.5044002755,5815049.5625001425
670614.1720002443,5815050.199800514
670617.21009968,5815053.160100446
