X-axis,Y-axis
670735.4800998678,5815161.692599993
670634.4800998678,5815061.692599993
670630.4800998678,5815058.692599993
670627.4800998678,5815057.692599993
670621.4800998678,5815056.692599993
670618.4800998678,5815055.692599993
670613.4800998678,5815051.692599993
670611.4800998678,5815049.692599993
670609.4800998678,5815047.692599993
670607.4800998678,5815045.692599993
670605.4800998678,5815043.692599993
670603.4800998678,5815041.692599993
670601.4800998678,5815039.692599993
670599.4800998678,5815037.692599993
670597.4800998678,5815035.692599993
670595.4800998678,5815033.692599993
670593.4800998678,5815031.692599993
670591.4800998678,5815029.692599993
670590.4800998678,5815028.692599993
670589.4800998678,5815027.692599993
670588.4800998678,5815026.692599993
670587.4800998678,5815025.692599993
670586.4800998678,5815024.692599993
670585.4800998678,5815023.692599993
670584.4800998678,5815022.692599993
670583.4800998678,5815021.692599993
670582.4800998678,5815020.692599993
670582.4800998678,5815018.692599993
670583.4800998678,5815016.692599993
670585.4800998678,5815015.692599993
670586.4800998678,5815015.692599993
670588.4800998678,5815016.692599993
670590.4800998678,5815023.692599993
670592.4800998678,5815026.692599993
670599.4800998678,5815033.692599993
670602.4800998678,5815036.692599993
670605.4800998678,5815039.692599993
670608.4800998678,5815042.692599993
670611.4800998678,5815045.692599993
670612.4800998678,5815046.692599993
